"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"11",0.0472017782664676,0,0,0.357745936433452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243178992077226,0,0,1.21768808543656e-08,0,0,2.60808975246558e-07,0,0,0,0,0,3.68772433024151,0,0,0,0.162773023215643,0,0,0,46.5787404111412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97041292234423,0.0451658408311166,0,0,0.0150301978354769,0,0,2.49872073928784e-08,0,0,0,0,44.133547091392,0,0,0,0,0.000788376985602344,0,0,0,0,0,0,0,0,1.25214780355035e-12,0,0,0,0,0.00062661434685479,0,0,0,0,0,0,0,0
"12",0,0,0,0,5.55203524177763e-05,0.882710079656794,0,0,0,0.0756373712264203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555815939454473,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9790411473611,0,0,0.00346331296706104,0,0,0,0,0,0,0,0,0,0,8.89711396969917e-05,0,0,68.7465440697224,0,0,0,3.25030674559821e-06,0,0,0,0,0,0,0,0,0,5.16994440276504,1.45026360973538e-07,0.410097387463334,0,0,4.53703114379798e-08,0,0,0,0,0,0,0,0,0,1.29707684628807e-07,1.69281225966849e-05,0,0.0984019966587118,0,0.078179302698858,0,0,0,0,0,0,0,0,0
"13",0,0.00470093966438979,0,0,0,0,0.102566360308731,0,0,0,0,0,0.741788292382636,0,0,0,0,2.26305377263475e-06,3.58068970171017e-07,0,0,0,0,0,0,0,0,0,0,0,4.84311988143223e-08,0,0,0,0.452051284003956,0,0.00109570398946446,0,0,0,0,0.0173454484249361,0,0,0,0,3.18079646018681,0,0,0,51.4554692160529,0,0.0384546299811244,0,0,0,0,0,17.2158101064861,0,0,0,0,0,0,0,0,0,8.28512244742377,0.0421736490409099,0,0.00629135481335051,0,0,0,0,0,16.8107258726004,0,0,0,0,0,0,0,0,0,0,0,1.64560556508654,0,0,0,0,0,0,0,0,0,0
"14",0.207251049365173,5.07331827015976e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9320048864501e-06,0,0,81.9181947454515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407790996571898,0,0,0,8.70309511479609,4.85098005231341e-06,0,0,0,0.0340075813088643,0,0,0,0,0,0,0,9.09301750780743,0,0,0,0,0.00251932022578529,0.00107606522029632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0716731723041,0,0,0,0.0136897312816859,0,0.574954037928556,0,0,0,0,0,0,0,0.709131203003913,0,0,5.47518354492616e-05,0,0,0,0,0,0,0.00590248272124,0,0,0,0,0,0,0,0,0,0,17.0120896609892,0,0,0,0,0,0,0,0,0,0,0,0.000890187373470125,0.00182715580201012,0,0,0,0,0,0,0,0,0,0.00685980236016239,0,0.375162698275412,0,0,0,0,0,0,0,3.22776511612483,0,0,0,0,0,0
"16",2.2575778274203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53901135606212e-16,0,0,5.47322713836976,0,0,0,0,0.0459245025416942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00214986677419658,0,0,0.0193226549272019,0,0,0.00704202911837726,0,1.20336718722394e-06,0,0,0.334839608518292,0.00391637934595277,0.00364793667384066,0,0,0,0,0,0,87.2158689093929,0,0,0,0,1.48487657595001,0.00040855651156333,0,0,0,0,0,0,0,0,3.14754097682158,0,4.02190156812926e-07,0,0,0,0,0,0,0.00365543207704919,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0.0137140733909801,0,1.8422910247669e-05,0,2.98915890159496e-07,0,0,0,0,0,80.0112701632255,0,0,0,0,5.59046308574266,0,8.03343173278408e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64171694552623,0,0,0,0,0,5.51048529350157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5047366071708e-09,0,0,0,0,0,0,0,0,0,0,0,0.221676061207315,0,0,0,0,0,4.38983017148099e-06,0,0,0,0,0,0,0,0.0106504579015107
"18",1.90392575905698e-09,0,0,1.66850302363102,0,0,0,5.01740878455686e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6858988400911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000764733811438449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398140070559851,1.63853993698186e-08,0,0,13.8595630393458,0,5.30972952095857,0,0,0,0,0,0,0.00472421299778805,0.358486982191858,0,0,0,0,0,0,0,4.43481008391664e-18,0,0,0,1.29024059858905e-06,0,0,0,0,0.0219569954844293,0,0,0,0,0,0,0,0,0.0505523184933751,0,0,0,0,0,0,0,0
"19",0,0,0,0,3.6613654672201e-05,80.9963225860362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22747379648924e-08,0,1.17739742646701e-12,0,0,0,0,0,0,0,0,0,0.0010972677158971,0,0.0616337116903663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48168165548392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3396141616083,0,0,0,0,0.117611772742864,0,0,0.00200219879181463,0
"20",3.59115693443101e-06,0,0,0.114529141745707,0,0,0,0,0,0,0.418725640543383,0,0,0,0,0,0,0,0,0.0818451580271211,0,0,17.0497515262334,0,14.5264720507794,0,0.127740485992041,0,0,0,0,0,0,58.2130573407934,0,0,0,2.35825462240703e-05,0,0,0,0,0,0.00264161224530079,0,0,0,0,0.000366463012128795,0,0,9.50745858473595e-06,1.26290397890277e-05,0,0,5.24478296366672,0,0.219998836834349,0,0,0,0,0,0,0.000121134401363658,0.528184811193028,0,0,0,0,0,0,0,0,0,0,0,0.0307904124547006,0,0,0,0,3.43684254472826,0,0,0,0,0,0,0,0,0.00410056714818941,0,0,0,0,0,0,0,0
"21",0.377122907207224,0.0034744925703198,0,0,0,0,0,0,0,0,0,0,82.7523515190908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197892142588384,9.0188503066465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215107333890812,0.520256727691264,2.70518952093362e-06,0.289380140896063,0,6.77167289711865,5.34281114107375e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.0311485725721222,0,0,0,0,0,0,0,0,0,0.000283660359581891,0,0.000559522508308216,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699673761184819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167081557784253,0,4.00013965291024e-09,0,0,0,0,0.107556294800554,0,0,0,0,0,0,0,0,0,0,11.9647188290969,0,0,0,0,0,0,0,0,0,74.8646011222224,0,0,8.48441148975086e-06,0.00398824481260434,0,0,0,0,0,0,0,0,11.1677173779353,0,0,0,0,0,0,1.67956438147729,0,0,0,0,0,0,0,0.0377669658472971,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81746326430939,0,0,0,0,0,0,0,0,0,0,0,0,0,89.564804469147,0,0,3.59650994112143e-06,0,0,0,0,0,0,0.000104407732135226,0,0,0,0.00815635446780473,0,0,0,0,0,0,2.5462713492974,0,0,0,0,0,0,0,0,0,0.699970205910859,0,6.10203279997315,0,0,0,0,0,0,0,0.207718479334955,0,0,0,0,0.00417905289689017,0.0478079713321433,0,0,0,0,0,0,0,0,0,0,0.000677816711450927,0.000810232376933535,0
