releveID,Achimill,Achiptar,Agrocani,Agrotenu,Ajugrept,Alchvulg,Alopprat,Angesilv,Anthodor,Arrhelat,Avenpube,Betooffi,Betupend,Brizmed,Caluvulg,Cardprat,Careflav,Carehart,Carehirt,Carelepo,Carenigr,Carepale,Carepani,Carepilu,Carepuli,Carestel,Careumbr,Centjace,Ceravulg,Cirspalu,Cynocris,Dactglom,Dactmaja,Dantdecu,Desccesp,Dryodila,Epiladen,Epilpalu,Equiarve,EquiSylv,Festovin,Festprat,Festrubr,Galialbu,Galibore,Galipalu,Galiulig,Hierumbe,Holclana,Holcmoll,Hyporadi,Junceffu,Lathprat,Leonhisp,Lotucorn,Luzumult,Lychflos,Lysinumm,Lysivulg,Mentarve,Molicaer,Myosnemo,Nardstri,Pedisylv,Pimpmajo,Pinusylv,Planlanc,poa_prat,poa_triv,Poputrem,Poteerec,Prunvulg,Querrobu,Ranuacer,Ranuauri,Ranuflam,Ranunemo,Rumeacet,Saliauri,Sangoffi,Scirsylv,Scorhumi,Selicarv,Senerivu,Serrtinc,Stelgram,Succprat,Taraoffi,Trifdubi,Trifrepe,Urtidioi,Vaccmyrt,Valedioi,Verocham,Verooffi,Veroserp,Vicicrac
r1995p5,0,15,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,2,0,3,10,5,2,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,12,3,6,0,3,0,4,0,3,0,0,0,2,0,0,2,2,0,2,0,1,5,3,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,2
r1995p6,0,2,2,0,7,0,0,0,2,0,0,0,0,12,0,2,0,0,0,0,0,2,2,7,2,0,5,0,0,4,0,0,1,0,0,0,0,0,0,0,7,0,4,0,3,0,3,0,5,0,0,1,3,0,0,2,0,0,3,0.5,25,4,5,0,0,0,0,0,0,0,8,1,0,0,2,0,1,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p7,0,5,2,0,3,0,0,2,4,0,0,0,0,0,0,2,0,0,0,2,0,3,3,1,2,1,0,0,0,2,6,0,0,2,0,0,0,0,0.5,0,3,3,7,0,2,0,1,0,10,0,0,2,3,0,0,2,1,0,5,5,10,7,10,0,0,0,0.5,1,0,0,5,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p8,0,2,15,0,0,0,0,2,10,0,0,0.5,0,9,0,0.5,0,0,0,4,0,4,3,1,2,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,4,0,30,0,0,3,2,0,0,1,0,0,4,0,30,10,10,0,0,0,0,6,0,0,4,2,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p9,0,3,5,0,3,0,0,3,10,0,3,0,0,5,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0.5,4,3,0,0,0,0,0,0,0,0,0,10,2,10,0,0,0,3,0,30,0,0,2,3,2,0,2,0,0,4,0,25,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
r1995p10,0,3,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,2,5,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,4,1,15,0,7,0,3,0,10,0,0,2,2,0,0,2,1,0,4,0,5,3,12,0,0,0,2,0,0,0,3,2,0,0,1,0,0,3,0,7,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p11,0,3,4,0,1,0,0,0,3,0,0,0,0,5,0,1,0,0,0,1,0,8,8,2,0,0,0,0,4,3,2,0,0,0,5,0,0,0,0,0,4,0,5,0,2,0,0,0,15,0,0,3,2,2,0,2,7,0,3,1,25,9,4,0,2,0,4,3,0,0,10,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
r1995p12,0,3,3,0,1,0,0,3,2,0,0,0,0,2,0,2,0,0,0,2,0,4,5,3,2,0,3,0,1,6,0,0,0,2,6,0,0,0,0,0,0,2,7,0,3,0,2,0,10,0,0,2,2,0,0,1,0,0,4,0,3,7,10,0,0,0,0,2,0,0,12,1,0,0,1,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
r1995p13,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,5,5,3,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,10,2,5,0,18,0,3,0,6,0,0,1,2,0,0,2,0,0,1,0,55,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0
r1995p14,0,0,5,0,1,2,0,1,5,0,0,0,0,5,0,0,0,0,0,2,0,2,2,2,0,0,0,0,1,4,0,0,0,2,0,0,1,0,0,0,15,3,20,0,4,0,0.5,0,45,0,0,1,2,1,0,1,1,0,2,0,0,2,8,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
r1995p15,0,3,2,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,4,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,2,4,0,5,0,1,1,8,0,0,2,2,0,0,1,0,0,2,0,30,0,5,0,0,0,1,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,0,0,0,0,3,13,0,0,0.5
